initial_point_key,starting_point,objective_value_20260310,cpu_time_s_20260310,termination_condition_20260310,feasible_20260310,objective_value_20260310_preprocess_on,cpu_time_s_20260310_preprocess_on,termination_condition_20260310_preprocess_on,feasible_20260310_preprocess_on
26,"(13, 1)",19449.85151196701,30.402522929012772,optimal,True,19449.85151196701,57.464439110830426,optimal,True
27,"(10, 4)",19853.73216380374,29.67068856395781,optimal,True,19346.12480109944,66.17576244659722,optimal,True
28,"(13, 7)",19346.12480109944,66.71840014774352,optimal,True,19346.12480109944,96.04176568426192,optimal,True
29,"(12, 1)",19346.12480109944,61.16681649629027,optimal,True,19346.12480109944,87.41024448722601,optimal,True
30,"(14, 1)",19449.85151196701,33.50024839770049,optimal,True,19449.85151196701,62.303716618567705,optimal,True
31,"(10, 3)",19548.719331288536,32.626001006923616,optimal,True,19346.12480109944,67.60263522993773,optimal,True
32,"(10, 5)",19346.12480109944,51.62575266603381,optimal,True,19346.12480109944,89.42171305697411,optimal,True
33,"(12, 7)",19346.12480109944,69.79280731640756,optimal,True,19346.12480109944,98.2407047227025,optimal,True
34,"(14, 7)",19853.73216380374,32.241331472061574,optimal,True,19346.12480109944,68.34134661406279,optimal,True
35,"(11, 1)",19853.73216380374,25.81487693544477,optimal,True,19853.73216380374,46.57694192137569,optimal,True
36,"(15, 1)",19346.12480109944,40.63204546365887,optimal,True,19346.12480109944,60.0360367083922,optimal,True
37,"(10, 2)",19449.85151196701,49.00660084281117,optimal,True,19449.85151196701,79.29352549556643,optimal,True
38,"(10, 6)",19346.12480109944,79.29323145467788,optimal,True,,7.073418718762696,unknown,False
39,"(11, 7)",19346.12480109944,81.06169334892184,optimal,True,,9.879050715826452,unknown,False
40,"(15, 7)",19346.12480109944,59.704120946116745,optimal,True,19346.12480109944,62.88884844444692,optimal,True
41,"(9, 4)",19548.719331288536,28.49819938931614,optimal,True,19346.12480109944,66.02501524891704,optimal,True
42,"(13, 8)",19346.12480109944,87.56021453626454,optimal,True,19346.12480109944,65.97538423445076,optimal,True
43,"(9, 3)",19548.719331288536,31.71786637790501,optimal,True,19346.12480109944,67.98761862330139,optimal,True
